report_ticker,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled,n_days
KXNBA2HWINNER,-5819.59,-119117.81,113298.22,0.0,10896595,60
KXPLATNERDROPOUT,267184.01,175921.8,91262.2,0.0,10880001,38
KXPGAROUNDSCORE,-236693.42,-398084.65,161391.23,0.0,10820200,67
KXCAGOVPRIMARY1ST,-60488.19,-86534.19,26046.0,0.0,10774308,87
KXWTIW,-117265.96,-188467.82,71201.86,0.0,10686298,102
KXSPACEXCOUNT,-115916.82,-142975.45,27058.63,0.0,10529806,109
KXPRIMARYMOV,-79048.77,-121317.61,42268.84,0.0,10289225,111
KXMOVVAREDISTRICT,168061.67,145200.81,22860.86,0.0,10117345,31
KXNBAREB,-246120.34,-377962.09,131841.75,0.0,10059013,60
KXPGAH2H,-124681.83,-258974.1,134292.27,0.0,10019856,75
KXAAAGASM,44156.19,-14634.79,58790.98,15077.4,9986041,107
KXDOTA2MAP,-202082.72,-328724.3,126641.58,0.0,9981349,96
KXLAMAYORMATCHUP,-1663688.17,-1753726.03,90037.86,0.0,9879950,55
KXNEAR15M,-47864.73,-110247.5,62382.76,0.0,9824267,37
KXCONCACAFCCUPGAME,-152886.1,-262834.28,109948.18,0.0,9720165,25
KXNHLFIRSTGOAL,-107393.86,-140656.22,33262.36,0.0,9709327,48
KXTRUMPATTEND,-228436.65,-259396.82,30960.18,0.0,9679464,95
KXWNBAPTS,53899.92,-67053.93,120953.85,0.0,9655129,85
KXCOPADOBRASILGAME,-127396.92,-218599.29,91202.37,0.0,9636526,17
KXASEANGAME,13068.0,-56338.45,69406.45,0.0,9509846,14
KXSERIEATOTAL,-28433.69,-152031.82,123598.13,0.0,9497304,40
KXTOPALBUMRECORD,-173834.05,-194285.74,20451.69,0.0,9422567,77
KXECULPTOTAL,-13425.51,-112582.06,99156.55,0.0,9308410,19
KXRANKLISTSONGSPOTUSA,-29610.78,-72476.86,42866.08,0.0,9280876,109
KXVANCEMENTION,-109260.12,-144565.69,35305.57,0.0,9189976,42
KXISLGAME,-82005.12,-170180.18,88175.06,0.0,9082348,67
KXEKSTRAKLASAGAME,-20456.19,-99868.9,79412.71,0.0,9054653,45
KXTEMPNYCH,153912.37,103733.42,50178.95,0.0,9043987,105
KXBTCMAXMON,-222903.63,-298327.29,75423.66,0.0,9029162,108
KXINDYCARRACE,-160943.92,-206629.01,45685.09,0.0,8920494,33
KXR6GAME,-75951.99,-177115.77,101163.78,0.0,8892639,78
KXEFLCHAMPIONSHIPGAME,-167694.54,-253937.75,86243.21,0.0,8857990,31
KXGOLDD,-43385.01,-123536.08,80151.07,0.0,8855926,110
KXFED,-160937.83,-180652.66,19714.83,5008.19,8833303,106
KXMLBMENTION,-84980.16,-135436.36,50456.2,0.0,8819274,109
KXBRASILEIROTOTAL,56476.83,-41277.82,97754.65,0.0,8709096,55
KXCLUBFSPREAD,-145802.53,-219881.32,74078.79,0.0,8499640,16
KXWCSTART,59036.5,33101.4,25935.1,0.0,8498776,19
KXHIGHTPHX,-23406.61,-74297.75,50891.14,0.0,8471016,113
KXHIGHTSFO,-62659.39,-121554.25,58894.86,0.0,8450905,113
KXHIGHAUS,16757.56,-42780.33,59537.89,0.0,8450821,113
KXEPLSPREAD,-220723.69,-312199.22,91475.53,0.0,8388512,40
KXSUPERLIGGAME,-121684.21,-194043.38,72359.17,0.0,8386501,29
KXFACUPGAME,870751.09,767631.92,103119.17,0.0,8382446,11
KXUCLSPREAD,-271684.98,-345200.88,73515.9,0.0,8359394,64
KXNBACOY,-228124.65,-247659.88,19535.23,4931.47,8342173,42
