row_label,ALL_PARLAYS,Multi-game sports,Cross-category,NFL single game,NFL multi-game,NFL prepack,NBA single game,NCAAF prepack,CBB championship,Other,fees_ALL_PARLAYS,fees_Multi-game sports,fees_Cross-category,fees_NFL single game,fees_NFL multi-game,fees_NFL prepack,fees_NBA single game,fees_NCAAF prepack,fees_CBB championship,fees_Other,net_pnl_ALL_PARLAYS,net_pnl_Multi-game sports,net_pnl_Cross-category,net_pnl_NFL single game,net_pnl_NFL multi-game,net_pnl_NFL prepack,net_pnl_NBA single game,net_pnl_NCAAF prepack,net_pnl_CBB championship,net_pnl_Other,net_pnl_pct_ALL_PARLAYS,net_pnl_pct_Multi-game sports,net_pnl_pct_Cross-category,net_pnl_pct_NFL single game,net_pnl_pct_NFL multi-game,net_pnl_pct_NFL prepack,net_pnl_pct_NBA single game,net_pnl_pct_NCAAF prepack,net_pnl_pct_CBB championship,net_pnl_pct_Other
2025-10-17,48246.25,0,0,7862.63,40383.62,0,0,0,0,0,2738.67,0,0,415.42,2323.25,0,0,0,0,0,65924.08,0,0,4314.95,61609.13,0,0,0,0,0,136.64,,,54.88,152.56,,,,,
2025-10-18,96416.3,0,0,24405.27,72011.03,0,0,0,0,0,5354.27,0,0,1347.8,4006.47,0,0,0,0,0,75290.51,0,0,-4156.07,79446.58,0,0,0,0,0,78.09,,,-17.03,110.33,,,,,
2025-10-19,820790.8,0,0,386144.6,434646.2,0,0,0,0,0,40987.39,0,0,19324.19,21663.2,0,0,0,0,0,215664.03,0,0,-65105.79,280769.82,0,0,0,0,0,26.28,,,-16.86,64.6,,,,,
2025-10-20,649010.86,0,0,443897.49,205113.37,0,0,0,0,0,30574.52,0,0,20434.47,10140.05,0,0,0,0,0,-26376.38,0,0,-5843.96,-20532.42,0,0,0,0,0,-4.06,,,-1.32,-10.01,,,,,
2025-10-21,44720.94,0,0,20791.72,23929.22,0,0,0,0,0,1890.21,0,0,878.39,1011.82,0,0,0,0,0,-19133.15,0,0,-11291.11,-7842.04,0,0,0,0,0,-42.78,,,-54.31,-32.77,,,,,
2025-10-22,63307.69,0,0,16433.27,46874.42,0,0,0,0,0,3356.22,0,0,889.82,2466.4,0,0,0,0,0,-32882.91,0,0,-7997.09,-24885.82,0,0,0,0,0,-51.94,,,-48.66,-53.09,,,,,
2025-10-23,358299.88,0,0,239330.45,118969.43,0,0,0,0,0,17203.88,0,0,11429.35,5774.53,0,0,0,0,0,-155420.66,0,0,-104646.7,-50773.96,0,0,0,0,0,-43.38,,,-43.72,-42.68,,,,,
2025-10-24,89798.14,0,0,6395.18,83402.96,0,0,0,0,0,4102.89,0,0,299.81,3803.08,0,0,0,0,0,-12029.03,0,0,2575.01,-14604.04,0,0,0,0,0,-13.4,,,40.26,-17.51,,,,,
2025-10-25,203932.15,0,0,33519.9,170412.25,0,0,0,0,0,10724.65,0,0,1793.74,8930.91,0,0,0,0,0,-31263.93,0,0,2597.24,-33861.17,0,0,0,0,0,-15.33,,,7.75,-19.87,,,,,
2025-10-26,1040356.76,0,0,353773.26,686583.5,0,0,0,0,0,52813.27,0,0,17938.05,34875.22,0,0,0,0,0,-131355.99,0,0,-14435.37,-116920.62,0,0,0,0,0,-12.63,,,-4.08,-17.03,,,,,
2025-10-27,346487.44,0,0,218880.58,127606.86,0,0,0,0,0,17208.76,0,0,10866.11,6342.65,0,0,0,0,0,126067.8,0,0,64019.31,62048.49,0,0,0,0,0,36.38,,,29.25,48.62,,,,,
2025-10-28,34677.56,0,0,1613.21,33064.35,0,0,0,0,0,1842.86,0,0,73.65,1769.21,0,0,0,0,0,-22457.42,0,0,230.14,-22687.56,0,0,0,0,0,-64.76,,,14.27,-68.62,,,,,
2025-10-29,118859.6,0,0,24831.71,94027.89,0,0,0,0,0,5831.29,0,0,1307.06,4524.23,0,0,0,0,0,-75276.89,0,0,-13360.77,-61916.12,0,0,0,0,0,-63.33,,,-53.81,-65.85,,,,,
2025-10-30,424942.77,0,0,235363.3,189579.47,0,0,0,0,0,21236.15,0,0,11545.31,9690.84,0,0,0,0,0,-237054.92,0,0,-130308.61,-106746.31,0,0,0,0,0,-55.79,,,-55.36,-56.31,,,,,
2025-10-31,71280.4,0,0,3828.36,67452.04,0,0,0,0,0,3594.68,0,0,193.27,3401.41,0,0,0,0,0,-40019.08,0,0,-949.63,-39069.45,0,0,0,0,0,-56.14,,,-24.81,-57.92,,,,,
2025-11-01,155314.61,0,0,21435.9,133878.71,0,0,0,0,0,8053.3,0,0,1126.97,6926.33,0,0,0,0,0,-89469.11,0,0,-9713.07,-79756.04,0,0,0,0,0,-57.61,,,-45.31,-59.57,,,,,
2025-11-02,1511159.76,0,0,458873.72,1052286.04,0,0,0,0,0,73422.65,0,0,21566.41,51856.24,0,0,0,0,0,-533649.85,0,0,-79492.6,-454157.25,0,0,0,0,0,-35.31,,,-17.32,-43.16,,,,,
2025-11-03,444171.81,0,0,272236.99,171934.82,0,0,0,0,0,22672.74,0,0,13818.37,8854.37,0,0,0,0,0,-240783.35,0,0,-140288.36,-100494.99,0,0,0,0,0,-54.21,,,-51.53,-58.45,,,,,
2025-11-04,29571.47,0,0,2696.57,26874.9,0,0,0,0,0,1554.39,0,0,120.95,1433.44,0,0,0,0,0,-12270.86,0,0,-455.52,-11815.34,0,0,0,0,0,-41.5,,,-16.89,-43.96,,,,,
2025-11-05,106408.38,0,0,39399.73,67008.65,0,0,0,0,0,5034.67,0,0,1471.05,3563.62,0,0,0,0,0,-96087.05,0,0,-38460.78,-57626.27,0,0,0,0,0,-90.3,,,-97.62,-86,,,,,
2025-11-06,444813.75,0,0,254206.19,190607.56,0,0,0,0,0,22555.99,0,0,12713.6,9842.39,0,0,0,0,0,-366912.74,0,0,-208464.79,-158447.95,0,0,0,0,0,-82.49,,,-82.01,-83.13,,,,,
2025-11-07,86391.3,0,0,9367.3,77024,0,0,0,0,0,3951.93,0,0,511.62,3440.31,0,0,0,0,0,-28406.23,0,0,25327.08,-53733.31,0,0,0,0,0,-32.88,,,270.38,-69.76,,,,,
2025-11-08,176981.71,0,0,26582.26,150399.45,0,0,0,0,0,9284.54,0,0,1358.52,7926.02,0,0,0,0,0,-87212.25,0,0,-7415.78,-79796.47,0,0,0,0,0,-49.28,,,-27.9,-53.06,,,,,
2025-11-09,1602402.6,0,0,452554.21,1149848.24,0.15,0,0,0,0,76383.26,0,0,22532.97,53850.27,0.02,0,0,0,0,-356676.8,0,0,-95277.12,-261399.51,-0.17,0,0,0,0,-22.26,,,-21.05,-22.73,-113.33,,,,
2025-11-10,444602.23,0,0,267265.07,177337.16,0,0,0,0,0,24044.37,0,0,14442.94,9601.43,0,0,0,0,0,-213443.6,0,0,-130480.01,-82963.59,0,0,0,0,0,-48.01,,,-48.82,-46.78,,,,,
2025-11-11,22057.86,0,0,1382.57,20675.29,0,0,0,0,0,1221.18,0,0,59.67,1161.51,0,0,0,0,0,1926.96,0,0,115.76,1811.2,0,0,0,0,0,8.74,,,8.37,8.76,,,,,
2025-11-12,48116.63,0,0,8751.5,39365.13,0,0,0,0,0,2460.93,0,0,369.46,2091.47,0,0,0,0,0,5849.44,0,0,5320.04,529.4,0,0,0,0,0,12.16,,,60.79,1.34,,,,,
2025-11-13,442960.24,0,0,250941.16,190391.75,0,0,0,0,1627.33,22548.33,0,0,12600.46,9869.34,0,0,0,0,78.53,2443.9,0,0,-17927.95,21660.71,0,0,0,0,-1288.86,0.55,,,-7.14,11.38,,,,,-79.2
2025-11-14,68247.65,0,0,9507.94,58697.42,0,0,0,0,42.29,3819.17,0,0,464.57,3352.68,0,0,0,0,1.92,-19134.82,0,0,-3554.51,-15546.1,0,0,0,0,-34.21,-28.04,,,-37.38,-26.49,,,,,-80.89
2025-11-15,161574.64,0,0,19245.75,142174.93,0,0,0,0,153.96,9175.07,0,0,1088.04,8079.95,0,0,0,0,7.08,-40562.99,0,0,-9127.07,-31373.88,0,0,0,0,-62.04,-25.1,,,-47.42,-22.07,,,,,-40.3
2025-11-16,1688841.84,0,0,297898.18,1375267.55,0,0,0,0,15676.11,84083.85,0,0,15618.25,68440.92,0,0,0,0,24.68,-610482.39,0,0,-158028.43,-452395.17,0,0,0,0,-58.79,-36.15,,,-53.05,-32.9,,,,,-0.38
2025-11-17,413152.31,0,0,179202.99,214642.75,0,0,0,0,19306.57,20207.38,0,0,9525.39,10543.48,0,0,0,0,138.51,-17623.63,0,0,-18433.08,1838.53,0,0,0,0,-1029.08,-4.27,,,-10.29,0.86,,,,,-5.33
