group,price_bin,n_trades,n_contracts,sum_price,yes_trades,yes_contracts,actual_win_rate,actual_win_rate_wt,implied_prob,calib_error
NON_PARLAY,50,45992351,6527231159,2390612458.9,23023452,3282216223,0.5005930660078672,0.5028496989070707,0.525,-0.02215030109292937
NON_PARLAY,55,40699370,5459809276,2317085368.7,22564527,3054145022,0.5544195647254491,0.5593867601612537,0.575,-0.015613239838746296
NON_PARLAY,60,35664516,4507333943,2209541781.0,21852228,2768872273,0.6127162359360211,0.6143037786894238,0.625,-0.010696221310576237
NON_PARLAY,65,32008942,3973589566,2142807901.0,21388820,2652489824,0.6682139009780454,0.6675298945557983,0.675,-0.007470105444201791
NON_PARLAY,70,28462883,3569817813,2048515014.1000001,20427558,2559079102,0.7176911066949894,0.7168654637446059,0.725,-0.008134536255394065
NON_PARLAY,75,27276595,3468638582,2098786201.4,21009834,2677057453,0.7702513455216826,0.7717891010300709,0.775,-0.003210898969929099
NON_PARLAY,80,26388083,3473844035,2163381342.5,21574992,2827931459,0.8176036129642309,0.8140640254737286,0.825,-0.010935974526271375
NON_PARLAY,85,27359001,3766281251,2380801614.3999996,23771331,3279326347,0.8688669224435498,0.8707067073467477,0.875,-0.00429329265325229
NON_PARLAY,90,30469079,4370005722,2805053389.100143,28054520,4029746674,0.9207537910811154,0.9221376195717484,0.925,-0.0028623804282515986
NON_PARLAY,95,45235225,7444793177,4402996760.101057,43956182,7260933186,0.9717246238965319,0.9753035461659273,0.975,0.0003035461659273153
SPORTS_NON_PARLAY,0,20259088,7759946644,42980664.899999954,265866,100664029,0.013123295579741793,0.01297225787987003,0.025,-0.012027742120129971
SPORTS_NON_PARLAY,5,20341177,4183249789,142552163.09999987,1107245,230841627,0.05443367411826759,0.05518236745197622,0.075,-0.019817632548023774
SPORTS_NON_PARLAY,10,19892403,3475115246,238266303.80000004,2089697,372384879,0.10505000326003852,0.10715756245167128,0.125,-0.01784243754832872
SPORTS_NON_PARLAY,15,19358447,3168105390,328794792.2,3058319,519050890,0.15798369569625084,0.16383637098638312,0.175,-0.011163629013616866
SPORTS_NON_PARLAY,20,19411210,3074051666,427446500.4,4158950,686401641,0.21425506189464746,0.22328890844347962,0.225,-0.0017110915565203833
