date,report_ticker,side,contracts_settled,notional_settled
2026-04-15,KXNBA1STTEAMDEF,yes,1071,444.16
2026-04-15,KXNBA1STTEAMDEF,no,815,273.75
2026-04-15,KXNBA1STTEAM,yes,11247,3625.16
2026-04-15,KXNBA1STTEAM,no,4952,3008.17
2026-04-15,KXNBA1HWINNER,yes,435362,174884.38
2026-04-15,KXNBA1HWINNER,no,61066,32597.34
2026-04-15,KXNBA1HTOTAL,yes,359638,182959.72
2026-04-15,KXNBA1HTOTAL,no,258955,84214.9
2026-04-15,KXNBA1HSPREAD,yes,216803,103152.38
2026-04-15,KXNBA1HSPREAD,no,125120,72112.61
2026-04-15,KXNBA,yes,2474461,512883.83
2026-04-15,KXNBA,no,357626,326997.18
2026-04-15,KXNATLEMERGENCY,yes,4,0.56
2026-04-15,KXNATGASW,yes,968,312.43
2026-04-15,KXNATGASW,no,356,290.23
2026-04-15,KXNATGASMON,yes,589,320.27
2026-04-15,KXNATGASMON,no,547,186.3
2026-04-15,KXNATGASD,yes,5819,1018.53
2026-04-15,KXNATGASD,no,1733,1705.58
2026-04-15,KXNASDAQ100U,yes,31374,19620.31
2026-04-15,KXNASDAQ100MINY,no,69,0.69
2026-04-15,KXMTCH,no,8721,8267.39
2026-04-15,KXMT01D,yes,1578,543.82
2026-04-15,KXMT01D,no,241,141.05
2026-04-15,KXMLBSTATCOUNT,no,24,4.95
2026-04-15,KXMLBSPREAD,yes,2591905,1128504.65
2026-04-15,KXMLBSPREAD,no,1657176,999115.8
2026-04-15,KXMLBRFI,yes,239902,107638.1
2026-04-15,KXMLBRFI,no,786075,406885.82
2026-04-15,KXMLBPLAYEROTW,yes,32,20.68
2026-04-15,KXMLBMENTION,yes,26290,15780.71
2026-04-15,KXMLBMENTION,no,9594,2423.84
2026-04-15,KXMLBKS,yes,464765,230487.29
2026-04-15,KXMLBKS,no,138666,65137.93
2026-04-15,KXMLBHRR,yes,100318,54031.97
2026-04-15,KXMLBHRR,no,9442,3176.43
2026-04-15,KXMLBHR,yes,971755,143940.59
2026-04-15,KXMLBHR,no,101770,76426.89
2026-04-15,KXMLBHIT,yes,124908,60333.01
2026-04-15,KXMLBHIT,no,37905,29531.27
2026-04-15,KXMLBGAME,yes,27997597,14057820.74
2026-04-15,KXMLBGAME,no,8247126,3665673.32
2026-04-15,KXMLBF5TOTAL,yes,208931,112433.55
2026-04-15,KXMLBF5TOTAL,no,209444,117457.2
2026-04-15,KXMLBF5SPREAD,yes,48404,23109.5
2026-04-15,KXMLBF5SPREAD,no,60197,39835.62
2026-04-15,KXMLBF5,yes,252760,119688.66
2026-04-15,KXMLBF5,no,47377,26663.98
2026-04-15,KXMJSCHEDULE,yes,14,1.54
2026-04-15,KXMLBTB,no,8715,3054.87
2026-04-15,KXMLBTB,yes,104810,50296.87
2026-04-15,KXMLBTEAMTOTAL,no,26575,13640.94
2026-04-15,KXMLBTEAMTOTAL,yes,146922,76479.52
2026-04-15,KXMRBEASTMENTION,yes,6637,2609.59
2026-04-15,KXMRBEASTMENTION,no,1943,932.39
2026-04-15,KXMOVWISUPREMECOURT,yes,94,93.06
2026-04-15,KXMOVWISUPREMECOURT,no,182,182.0
2026-04-15,KXMOVVAREDISTRICT,yes,102534,15303.66
2026-04-15,KXMOVVAREDISTRICT,no,7307,5655.58
2026-04-15,KXMOVNJ11SPECIAL,yes,11777,2436.88
2026-04-15,KXMOVNJ11SPECIAL,no,5600,2286.37
2026-04-15,KXMOVILSENATED,yes,313,79.93
2026-04-15,KXMOVILSENATED,no,470,15.25
2026-04-15,KXMOVIL9DNOM,no,39,3.12
2026-04-15,KXMOVIEDELAYODYSSEY,yes,90,11.2
2026-04-15,KXNBA2HTOTAL,yes,526,279.13
2026-04-15,KXMOVIEDELAYODYSSEY,no,24,22.43
2026-04-15,KXMOCTRUMP25,yes,127,19.6
2026-04-15,KXMOCTRUMP25,no,154,142.29
2026-04-15,KXMNDAYCARECHARGE,yes,14,4.89
2026-04-15,KXMNDAYCARECHARGE,no,27,18.9
2026-04-15,KXMLSSPREAD,yes,37,21.23
2026-04-15,KXMLSSPREAD,no,692,623.89
2026-04-15,KXMLSGAME,yes,11859,4352.95
2026-04-15,KXMLSGAME,no,3653,2085.45
2026-04-15,KXMLSBTTS,yes,25,14.5
2026-04-15,KXMLSBTTS,no,149,61.09
2026-04-15,KXMLBTOTAL,yes,3531352,1789126.41
2026-04-15,KXMLBTOTAL,no,3892629,2063986.33
2026-04-15,KXMOVGA14SWISCOTUS,no,3819,38.19
2026-04-15,KXROLEX,yes,432,292.73
2026-04-15,KXNBA2HWINNER,no,6485,3000.33
2026-04-15,KXNBA2KCOVER,yes,55,33.95
2026-04-15,KXNBAWEST,yes,163380,15077.63
2026-04-15,KXNBAWEST,no,17438,15140.34
2026-04-15,KXNBAUPSET,yes,918,613.48
2026-04-15,KXNBAUPSET,no,152,45.61
2026-04-15,KXNBATOTAL,yes,4472881,2407021.44
2026-04-15,KXNBATOTAL,no,3453872,1681933.22
2026-04-15,KXNBATOPPICK,yes,4161,336.97
2026-04-15,KXNBATOPPICK,no,5,4.4
2026-04-15,KXNBATOP5ROTY,yes,84,83.16
2026-04-15,KXNBATEAMTOTAL,yes,85152,49418.43
2026-04-15,KXNBATEAMTOTAL,no,34661,12684.48
2026-04-15,KXNBASWEEP,yes,856,164.03
2026-04-15,KXNBASWEEP,no,379,47.97
2026-04-15,KXNBASTL,yes,8561,6225.59
2026-04-15,KXNBASTL,no,424,16.18
2026-04-15,KXNBASPREAD,yes,3703797,1710391.09
2026-04-15,KXNBASPREAD,no,4194065,2291917.83
2026-04-15,KXNBASIXTH,yes,8303,4706.31
2026-04-15,KXNBASIXTH,no,2074,1490.96
2026-04-15,KXNBASERIESSPREAD,yes,4333,2004.39
2026-04-15,KXNBASERIESSPREAD,no,1938,1464.55
2026-04-15,KXNBASERIESSCORE,yes,40769,5723.57
2026-04-15,KXNBASERIESSCORE,no,2826,2405.85
2026-04-15,KXNBASERIESPTSLEADER,yes,436,168.15
2026-04-15,KXNBASERIESPTSLEADER,no,28,27.72
2026-04-15,KXNBAWFINMVP,no,136,65.79
2026-04-15,KXNBASERIESGAMES,yes,1549,851.61
2026-04-15,KXNBAWFINMVP,yes,7235,532.45
2026-04-15,KXNCAABASEBALL,yes,22772,1592.22
2026-04-15,KXNETFLIXTOPVIEWSMOVIE,yes,400,396.0
2026-04-15,KXNETFLIXTOPVIEWSMOVIE,no,80,16.3
2026-04-15,KXNETFLIXRANKSHOWRUNNERUP,yes,3522,444.12
2026-04-15,KXNETFLIXRANKSHOWRUNNERUP,no,237,78.8
2026-04-15,KXNETFLIXRANKSHOWGLOBAL2,yes,64,53.12
2026-04-15,KXNETFLIXRANKSHOWGLOBAL,yes,378,13.11
2026-04-15,KXNETFLIXRANKSHOW,yes,7961,662.91
2026-04-15,KXNETFLIXRANKSHOW,no,219,211.64
2026-04-15,KXNETFLIXRANKMOVIERUNNERUP,yes,4635,330.13
2026-04-15,KXNETFLIXRANKMOVIERUNNERUP,no,144,138.02
2026-04-15,KXNETFLIXRANKMOVIEGLOBAL2,yes,746,18.08
2026-04-15,KXNETFLIXRANKMOVIEGLOBAL,yes,1119,71.54
2026-04-15,KXNETFLIXRANKMOVIEGLOBAL,no,862,327.08
2026-04-15,KXNETFLIXRANKMOVIE,yes,17839,1701.8
2026-04-15,KXNETFLIXRANKMOVIE,no,4827,1510.27
2026-04-15,KXNE2D,yes,686,373.37
2026-04-15,KXNE2D,no,40,14.4
