date,kalshi_category,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled
2026-03-05,Science and Technology,-4631.41,-5160.51,529.1,99.91,245819
2026-03-06,Climate and Weather,-24089.23,-39423.28,15334.05,0.0,2806437
2026-03-06,Companies,-854.41,-1128.94,274.53,4.1,30721
2026-03-06,Crypto,-241530.41,-614080.58,372550.17,0.0,36980199
2026-03-06,Economics,-162994.99,-171948.99,8954.0,1842.16,3341040
2026-03-06,Elections,-2129.54,-2472.66,343.12,0.0,94986
2026-03-06,Entertainment,-20577.0,-31779.87,11202.87,0.0,1758335
2026-03-06,Financials,-18373.96,-22691.65,4317.69,0.0,732415
2026-03-06,Mentions,-78962.9,-102105.41,23142.51,0.0,3275919
2026-03-06,Non-parlay sports,1909258.93,-1298286.5,3207545.43,617985.68,284711793
2026-03-06,Other non-sports,150.11,100.88,49.23,0.0,8808
2026-03-06,Parlays,339844.7,-177.27,340021.97,0.0,44817639
2026-03-06,Politics,-60574.95,-83967.11,23392.16,0.0,2453237
2026-03-06,Science and Technology,185.85,-16.44,202.29,17.9,263661
2026-03-07,Climate and Weather,-32661.17,-46959.64,14298.47,0.0,2352434
2026-03-07,Companies,-98.21,-114.3,16.09,0.08,3266
2026-03-07,Crypto,-194888.04,-487026.35,292138.31,0.0,29943914
2026-03-07,Economics,-32724.81,-36127.72,3402.91,342.44,1128950
2026-03-07,Elections,-1100.18,-1214.12,113.94,0.0,40509
2026-03-07,Entertainment,-16839.3,-28026.66,11187.36,0.0,1899987
2026-03-07,Financials,-5322.04,-5898.71,576.67,0.0,74741
2026-03-07,Mentions,-56603.59,-77863.51,21259.92,0.0,2579607
2026-03-07,Non-parlay sports,-734880.98,-5275330.8,4540449.82,793119.1,395811888
2026-03-07,Other non-sports,-24.16,-26.67,2.51,0.0,3239
2026-03-07,Parlays,-2341211.26,-2803810.39,462599.13,0.0,62508452
2026-03-07,Politics,-32114.03,-39415.24,7301.21,0.0,1176378
2026-03-07,Science and Technology,-1452.25,-1633.9,181.65,19.1,205360
2026-03-08,Climate and Weather,-11305.63,-24382.34,13076.71,0.0,2242660
2026-03-08,Companies,105.33,90.12,15.21,0.01,4613
2026-03-08,Crypto,26498.93,-265458.67,291957.6,0.0,30576166
2026-03-08,Economics,-76248.88,-85403.58,9154.7,403.7,2088610
2026-03-08,Elections,3059.35,2815.63,243.72,0.0,24843
