market_key,market_name,kalshi_category,contracts,fees_total,n_outcomes,winner,winner_ticker,report_ticker,is_sports,top_outcome,i.market_name,i.fees_total,i.winner,i.winner_ticker
KXNFLGAME-26JAN04DETCHI,KXNFLGAME-26JAN04DETCHI,Sports,17077516,227519.839999998,2,"",KXNFLGAME-26JAN04DETCHI-DET,KXNFLGAME,TRUE,KXNFLGAME-26JAN04DETCHI-CHI,KXNFLGAME-26JAN04DETCHI,227519.839999998,"",KXNFLGAME-26JAN04DETCHI-DET
KXNBASERIES-25GSWHOU,KXNBASERIES-25GSWHOU,Sports,17006236,225998.599999997,2,"",KXNBASERIES-25GSWHOU-GSW,KXNBASERIES,TRUE,KXNBASERIES-25GSWHOU-GSW,KXNBASERIES-25GSWHOU,225998.599999997,"",KXNBASERIES-25GSWHOU-GSW
KXNBAGAME-26FEB23SASDET,KXNBAGAME-26FEB23SASDET,Sports,16983602,274827.03999999,2,"",KXNBAGAME-26FEB23SASDET-SAS,KXNBAGAME,TRUE,KXNBAGAME-26FEB23SASDET-SAS,KXNBAGAME-26FEB23SASDET,219650.43,"",KXNBAGAME-26FEB23SASDET-SAS
KXNFLGAME-25OCT30BALMIA,KXNFLGAME-25OCT30BALMIA,Sports,16946710,159217.049999998,2,"",KXNFLGAME-25OCT30BALMIA-BAL,KXNFLGAME,TRUE,KXNFLGAME-25OCT30BALMIA-MIA,KXNFLGAME-25OCT30BALMIA,159217.049999998,"",KXNFLGAME-25OCT30BALMIA-BAL
KXNCAAMBGAME-26MAR19TCUOSU,KXNCAAMBGAME-26MAR19TCUOSU,Sports,16925789,304590.199999999,2,"The following market refers to the team who wins the TCU at Ohio St. men's college basketball game originally scheduled for Mar 19, 2026. If this game is postponed or delayed, the market will remain open and close after the rescheduled game has finished (within two weeks). If the cancelled game is not played or is rescheduled further than two weeks out, the market will resolve to a fair price for each team in accordance with the rules. Kalshi is not affiliated,  associated,  authorized, endorsed by, or in any way officially connected with the NCAA. All trademarks, logos, and brand names are the property of their respective owners.",KXNCAAMBGAME-26MAR19TCUOSU-TCU,KXNCAAMBGAME,TRUE,KXNCAAMBGAME-26MAR19TCUOSU-OSU,KXNCAAMBGAME-26MAR19TCUOSU,304590.199999999,"The following market refers to the team who wins the TCU at Ohio St. men's college basketball game originally scheduled for Mar 19, 2026. If this game is postponed or delayed, the market will remain open and close after the rescheduled game has finished (within two weeks). If the cancelled game is not played or is rescheduled further than two weeks out, the market will resolve to a fair price for each team in accordance with the rules. Kalshi is not affiliated,  associated,  authorized, endorsed by, or in any way officially connected with the NCAA. All trademarks, logos, and brand names are the property of their respective owners.",KXNCAAMBGAME-26MAR19TCUOSU-TCU
KXNBAEAST-25,NBA Eastern Conference Championship,Sports,16919333,328304.660000002,2,"",KXNBAEAST-25-IND,KXNBAEAST,TRUE,KXNBAEAST-25-IND,NBA Eastern Conference Championship,271479.209999998,"",KXNBAEAST-25-IND
KXNCAAMBGAME-26MAR20MIZZMIA,KXNCAAMBGAME-26MAR20MIZZMIA,Sports,16906966,304440.959999996,2,"The following market refers to the team who wins the Missouri at Miami (FL) men's college basketball game originally scheduled for Mar 20, 2026. If this game is postponed or delayed, the market will remain open and close after the rescheduled game has finished (within two weeks). If the cancelled game is not played or is rescheduled further than two weeks out, the market will resolve to a fair price for each team in accordance with the rules. Kalshi is not affiliated,  associated,  authorized, endorsed by, or in any way officially connected with the NCAA. All trademarks, logos, and brand names are the property of their respective owners.",KXNCAAMBGAME-26MAR20MIZZMIA-MIA,KXNCAAMBGAME,TRUE,KXNCAAMBGAME-26MAR20MIZZMIA-MIA,KXNCAAMBGAME-26MAR20MIZZMIA,304440.959999996,"The following market refers to the team who wins the Missouri at Miami (FL) men's college basketball game originally scheduled for Mar 20, 2026. If this game is postponed or delayed, the market will remain open and close after the rescheduled game has finished (within two weeks). If the cancelled game is not played or is rescheduled further than two weeks out, the market will resolve to a fair price for each team in accordance with the rules. Kalshi is not affiliated,  associated,  authorized, endorsed by, or in any way officially connected with the NCAA. All trademarks, logos, and brand names are the property of their respective owners.",KXNCAAMBGAME-26MAR20MIZZMIA-MIA
KXNFLGAME-25OCT19GBARI,KXNFLGAME-25OCT19GBARI,Sports,16882195,253255.909999998,2,"",KXNFLGAME-25OCT19GBARI-GB,KXNFLGAME,TRUE,KXNFLGAME-25OCT19GBARI-GB,KXNFLGAME-25OCT19GBARI,253255.909999998,"",KXNFLGAME-25OCT19GBARI-GB
KXNBAGAME-26FEB21ORLPHX,KXNBAGAME-26FEB21ORLPHX,Sports,16742277,277717.979999995,2,"",KXNBAGAME-26FEB21ORLPHX-PHX,KXNBAGAME,TRUE,KXNBAGAME-26FEB21ORLPHX-ORL,KXNBAGAME-26FEB21ORLPHX,221975.800000002,"",KXNBAGAME-26FEB21ORLPHX-PHX
KXGOVSHUTLENGTH-26JAN01,KXGOVSHUTLENGTH-26JAN01,Politics,16708954,593184.070000004,1,days:: Past 10AM ET 11/12 (Wed),KXGOVSHUTLENGTH-26JAN01-42D,KXGOVSHUTLENGTH,FALSE,KXGOVSHUTLENGTH-26JAN01-43D,KXGOVSHUTLENGTH-26JAN01,593184.070000004,days:: Past 10AM ET 11/12 (Wed),KXGOVSHUTLENGTH-26JAN01-42D
KXNCAAFGAME-25OCT18MISSUGA,KXNCAAFGAME-25OCT18MISSUGA,Sports,16570640,228245.989999998,2,"",KXNCAAFGAME-25OCT18MISSUGA-UGA,KXNCAAFGAME,TRUE,KXNCAAFGAME-25OCT18MISSUGA-MISS,KXNCAAFGAME-25OCT18MISSUGA,228245.989999998,"",KXNCAAFGAME-25OCT18MISSUGA-UGA
KXNBAGAME-26FEB19DENLAC,KXNBAGAME-26FEB19DENLAC,Sports,16508450,259449.179999994,2,"",KXNBAGAME-26FEB19DENLAC-LAC,KXNBAGAME,TRUE,KXNBAGAME-26FEB19DENLAC-DEN,KXNBAGAME-26FEB19DENLAC,207362.29,"",KXNBAGAME-26FEB19DENLAC-LAC
KXNFLGAME-25OCT12CINGB,KXNFLGAME-25OCT12CINGB,Sports,16459066,141068.649999997,1,"",KXNFLGAME-25OCT12CINGB-GB,KXNFLGAME,TRUE,KXNFLGAME-25OCT12CINGB-CIN,KXNFLGAME-25OCT12CINGB,141068.649999997,"",KXNFLGAME-25OCT12CINGB-GB
