group,price_bin,n_trades,n_contracts,sum_price,yes_trades,yes_contracts,actual_win_rate,actual_win_rate_wt,implied_prob,calib_error,calib_error_qty,n_events,n_contracts_distinct,n_settle_days,g_eff,se_event_cents,se_event_cents_qty,se_day_cents,se_naive_cents,significant_2se
NON_WEATHER_EX_ELECTION,70,61847,13897610,4447659,49357,11441682,0.7980500266787395,0.8232841474181531,0.7191390043171051,0.07891102236162133,0.1045848350903512,2210,4875,453,50.278270503318154,3.8564775445675825,4.648360680101906,3.313372419365881,0.16105180114430526,1
NON_WEATHER_EX_ELECTION,75,55731,13315730,4291153,46468,11419819,0.8337908883745133,0.8576186960835043,0.7699759559311694,0.06381493244335075,0.08657579644525651,2329,5307,457,89.38164609120527,2.9258185129398795,4.594398451613719,2.2697484301033937,0.15761098994360312,1
NON_WEATHER_EX_ELECTION,80,50995,13328825,4178327,44341,12001841,0.8695166192763997,0.900442537132868,0.8193601333464066,0.050156485929994686,0.0806260986996232,2445,5787,453,101.4348898821654,2.4336654707473335,4.131885889343462,2.372421541465612,0.1491856011659725,1
NON_WEATHER_EX_ELECTION,85,58556,18135249,5097808,53667,16904624,0.9165072750870961,0.9321418195030021,0.8705867887150762,0.045920486372020126,0.06135024228230945,2453,6149,450,88.39505103950651,2.182469237268969,3.6527327043753144,2.1189169907139442,0.11425113226972987,1
NON_WEATHER_EX_ELECTION,90,61164,21836389,5628072,58920,21555492,0.9633117520109868,0.9871362888799975,0.920160878948401,0.043150873062587705,0.06581679599131499,2516,6580,448,18.002584898768045,0.8836229781611398,0.586357444766796,0.8910792781872842,0.07584270380744555,1
NON_WEATHER_EX_ELECTION,95,48116,18992002,4661967,47293,18935439,0.9828955025355391,0.9970217463119475,0.9689016127691412,0.013993889766398716,0.026478242788727416,2428,6411,436,44.71564627900028,0.2987281113182678,0.13247176038461075,0.3373140610878155,0.059378992803390436,1
ELECTION_ONLY,0,26431,36273004,61921,0,0,0.0,0.0,0.023427414778101473,-0.02342741477810198,-0.02434914874985259,1,1,1,1.0,0.0,0.0,0.0,0.00413834327383158,0
ELECTION_ONLY,5,26251,28790376,193367,0,0,0.0,0.0,0.07366081292141252,-0.07366081292140962,-0.07120825723151386,1,1,1,1.0,0.0,0.0,0.0,0.009387004679436472,0
ELECTION_ONLY,10,44171,33901556,546338,0,0,0.0,0.0,0.12368703447963596,-0.1236870344796156,-0.12251864457194862,1,1,1,1.0,0.0,0.0,0.0,0.007194639549953604,0
ELECTION_ONLY,15,35117,20563686,594420,0,0,0.0,0.0,0.16926844548224507,-0.1692684454822571,-0.16819100136035917,1,1,1,1.0,0.0,0.0,0.0,0.006762795258866281,0
ELECTION_ONLY,20,4840,2600427,107016,0,0,0.0,0.0,0.22110743801652893,-0.2211074380165277,-0.22208696879397116,1,1,1,1.0,0.0,0.0,0.0,0.019940576337959634,0
ELECTION_ONLY,25,28164,15029744,761980,0,0,0.0,0.0,0.27055105808833974,-0.270551058088329,-0.26941661015650104,1,1,1,1.0,0.0,0.0,0.0,0.007301231852356242,0
ELECTION_ONLY,30,9891,6434804,326487,0,0,0.0,0.0,0.33008492569002124,-0.3300849256900222,-0.3290763432732371,1,1,1,1.0,0.0,0.0,0.0,0.012391199940298244,0
ELECTION_ONLY,35,55410,28732374,2072506,0,0,0.0,0.0,0.3740310413282801,-0.3740310413283169,-0.3739511743791214,1,1,1,1.0,0.0,0.0,0.0,0.005918085685761754,0
ELECTION_ONLY,40,120345,56412690,5091949,15,8075,0.0001246416552411816,0.00014314155201604461,0.4231126345091196,-0.4229879928539009,-0.4229054131260173,1,2,1,1.0,0.0,0.0,0.0,0.005150222933765623,0
ELECTION_ONLY,45,190507,89717272,8798890,330,1022754,0.0017322198134451753,0.011399744744802317,0.4618670180098369,-0.4601347981962209,-0.451354316702817,1,2,1,1.0,0.0,0.0,0.0,0.009656188600952976,0
ELECTION_ONLY,50,59607,32773145,3121845,26514,12829004,0.4448135286124113,0.391448669329721,0.5237379837938497,-0.07892445518143505,-0.13144627499130862,1,2,1,1.0,0.0,0.0,0.0,0.19887762398665879,0
ELECTION_ONLY,55,143556,54623775,8305079,143491,54544705,0.999547215024102,0.9985524618172216,0.5785253838223411,0.42102183120171205,0.42049817739619666,1,2,1,1.0,0.0,0.0,0.0,0.006723779360106851,0
ELECTION_ONLY,60,214772,72009281,13122096,214750,71988161,0.999897565790699,0.9997067044732748,0.6109779673327994,0.3889195984579114,0.3889251245266553,1,2,1,1.0,0.0,0.0,0.0,0.0036346136540791993,0
ELECTION_ONLY,65,64971,20310762,4272999,64971,20310762,1.0,1.0,0.6576778870573025,0.34232211294272746,0.34041932203233244,1,1,1,1.0,0.0,0.0,0.0,0.004115131733631811,0
ELECTION_ONLY,70,16856,7845114,1208881,16856,7845114,1.0,1.0,0.7171814190792596,0.28281858092072476,0.28251867723018526,1,1,1,1.0,0.0,0.0,0.0,0.008921402555200079,0
ELECTION_ONLY,75,7055,9614804,549482,7055,9614804,1.0,1.0,0.7788547129695251,0.2211452870304795,0.2231559020859912,1,1,1,1.0,0.0,0.0,0.0,0.016407659822747483,0
ELECTION_ONLY,80,9642,5560779,782110,9642,5560779,1.0,1.0,0.8111491391827421,0.18885086081725483,0.189517058671096,1,1,1,1.0,0.0,0.0,0.0,0.013612365693095561,0
ELECTION_ONLY,85,5641,3665344,494525,5641,3665344,1.0,1.0,0.8766619393724517,0.12333806062755089,0.12339832768766051,1,1,1,1.0,0.0,0.0,0.0,0.01736958895554891,0
ELECTION_ONLY,90,26929,18848853,2475698,26929,18848853,1.0,1.0,0.9193427160310446,0.08065728396895627,0.08148847359571425,1,1,1,1.0,0.0,0.0,0.0,0.008852995231258638,0
ELECTION_ONLY,95,102774,65610763,10004340,102774,65610763,1.0,1.0,0.9734310234105902,0.02656897658939605,0.026482349245047315,1,1,1,1.0,0.0,0.0,0.0,0.0024294359403164985,0
