report_ticker,is_sports,days_active,trades,contracts,yes_side_notional_volume,fees
VANRATEMC,FALSE,8,26,7502,1402.99,78.74
KXSPORTSOWNERLBJ,TRUE,81,226,7488,1113.05,65.17
KXBETBG,FALSE,13,190,7470,3845.73,64.51
KXTARIFFSALUMINUM,FALSE,23,233,7466,6626.82,51.23
KXGRAMBOR,FALSE,5,36,7462,2950.06,38.42
KXJONESACTREPEAL,FALSE,31,123,7459,1189.77,66.71
KXSKEXPYOY,FALSE,8,241,7458,4439.74,78.25
KXJAPAN3RD,FALSE,11,56,7457,1088.51,39.38
KXSENATENYD,FALSE,89,265,7453,3602.12,128.15
KXSENATERID,FALSE,41,130,7449,5645.73,36.81
KXUSTAKEOVER,FALSE,162,547,7448,2584.91,120.53
KXPACOMMONWEALTHCOURT,FALSE,36,339,7445,3602.59,75.04
KXNFLREDZONEBRANDADS,TRUE,4,210,7444,3488.1,107.05
KXSPOTIFYSONGSALAMBREPUA,FALSE,8,183,7421,4551.64,65.57
KXSRIRAM,FALSE,34,73,7418,1543.34,80.86
KXSERIEA1HBTTS,TRUE,4,188,7416,2148.83,75.21
KXDEEPSEEKV4RELEASE,FALSE,53,143,7411,1290.95,73.32
KXBOOKAWARDSTLIT,FALSE,18,32,7395,1782.64,37.34
KXSPOTIFYSONGSKILLINGITGIRL,FALSE,5,70,7392,6072.76,44
KXNEWPRODUCTMICROSOFT,FALSE,48,156,7392,6596.07,45.1
KXCOMPANYACTIONEA,FALSE,8,102,7371,3105.71,95.94
KXGRAMBFA,FALSE,17,62,7361,2182.71,39.58
KXPRESENDORSEMUSKD,FALSE,79,184,7357,907.14,56.11
KXGOVARNOMD,FALSE,24,298,7329,5092.59,22.98
KXFDICELIM,FALSE,58,112,7323,852.63,51.43
KXTRUFAIDP,FALSE,23,244,7311,5714.41,13.62
KXEMMYSVSERIES,FALSE,16,94,7304,3428.75,44.43
HOUSEWI1,FALSE,61,131,7298,3162.53,108.24
KXFUNDINGBILLS,FALSE,14,69,7298,3522.93,74.66
KXMLBNEXTHR,TRUE,4,111,7289,6864.49,21.79
RIHANNA,FALSE,47,88,7283,782.42,46.05
KXMLBWINS-BAL,TRUE,61,185,7275,3837.85,105.31
KXUFCOCCUR,TRUE,18,252,7274,4996.79,107.47
KXMETACRITICGAGA,FALSE,36,127,7270,3623.13,105.84
